frankx-strategy	agent/hermes/cro-revenue-os-2026-07-16	61	4	null:null	KEEP-no-pr-unique
frankx-strategy	agent/hermes/gencreator-firstrun-20260823	19	7	8:MERGED	SAFE-squash-merged
frankx-strategy	agent/hermes/portfolio-council-20260805	41	1	3:CLOSED	REVIEW-pr-closed
frankx-strategy	codex/business-legal-foundation-20260711	66	3	1:CLOSED	REVIEW-pr-closed
frankx-strategy	codex/frankx-identity-strategy	29	12	5:MERGED	SAFE-squash-merged
frankx-strategy	codex/private-ip-boundary-20260827	19	2	9:MERGED	SAFE-squash-merged
starlight-swarm	agent/hermes/runtime-hardening-20260809	36	1	16:MERGED	SAFE-squash-merged
starlight-swarm	agent/hermes/starlight-hand-openfang-pilot-clean	59	1	9:MERGED	SAFE-squash-merged
starlight-swarm	agent/hermes/starlight-team-runtime-20260806	37	2	null:null	KEEP-no-pr-unique
starlight-swarm	agent/hermes/starlight-team-runtime-20260809	37	4	14:CLOSED	REVIEW-pr-closed
starlight-swarm	claude/add-mit-license-jjw5kg	85	1	5:MERGED	SAFE-squash-merged
starlight-swarm	claude/agentic-repos-audit-68tqqv	93	3	1:MERGED	SAFE-squash-merged
starlight-swarm	claude/benevolent-ai-agentic-swarms-a1pmlp	50	2	11:MERGED	SAFE-squash-merged
starlight-swarm	claude/ecosystem-audit-strategy-7ovdli	85	1	6:CLOSED	REVIEW-pr-closed
starlight-swarm	claude/frankx-book-github-redesign-jjw5kg	85	3	2:MERGED	SAFE-squash-merged
starlight-swarm	claude/ocean-intelligence-repo-depth-z5491l	85	1	7:MERGED	SAFE-squash-merged
starlight-swarm	claude/starlight-multiagent-validation-gxd3bp	65	1	8:MERGED	SAFE-squash-merged
starlight-swarm	claude/website-skills-cloud-setup-qer2jh	50	6	12:MERGED	SAFE-squash-merged
starlight-swarm	codex/converge-runtime-provenance-20260812	36	1	17:CLOSED	REVIEW-pr-closed
starlight-swarm	codex/main-preserve-20260630	64	2	null:null	KEEP-no-pr-unique
frankx.ai-vercel-website	agent/antigravity/ai-agent-guide-august-2026	25	3	513:CLOSED	REVIEW-pr-closed
frankx.ai-vercel-website	agent/antigravity/lead-funnels-v1	41	15	null:null	KEEP-no-pr-unique
frankx.ai-vercel-website	agent/antigravity/v0-sovereign-creator-engine	19	9	567:CLOSED	REVIEW-pr-closed
frankx.ai-vercel-website	agent/book/first-100-hardening	60	1	334:CLOSED	REVIEW-pr-closed
frankx.ai-vercel-website	agent/book/r1-cta	61	1	384:CLOSED	REVIEW-pr-closed
frankx.ai-vercel-website	agent/c940/r1-primary-cta-20260803	43	2	419:CLOSED	REVIEW-pr-closed
frankx.ai-vercel-website	agent/c940/research-hub-recommend-preserve-20260818	29	10	null:null	KEEP-no-pr-unique
frankx.ai-vercel-website	agent/claude/agentic-company-offer	58	1	340:CLOSED	REVIEW-pr-closed
frankx.ai-vercel-website	agent/claude/ai-architect-hub	23	12	529:CLOSED	REVIEW-pr-closed
frankx.ai-vercel-website	agent/claude/checkout-revenue-fix	33	3	243:CLOSED	REVIEW-pr-closed
frankx.ai-vercel-website	agent/claude/checkout-revenue-fix-local	62	2	null:null	KEEP-no-pr-unique
frankx.ai-vercel-website	agent/claude/hero-splittext	33	1	470:CLOSED	REVIEW-pr-closed
frankx.ai-vercel-website	agent/claude/homepage-music-email-fixes	80	2	209:CLOSED	REVIEW-pr-closed
frankx.ai-vercel-website	agent/claude/lead-funnel-repair	39	16	null:null	KEEP-no-pr-unique
frankx.ai-vercel-website	agent/claude/lint-config-and-audit-refresh	49	4	395:CLOSED	REVIEW-pr-closed
frankx.ai-vercel-website	agent/claude/oracle-rebrand-thin-20260715-local	62	3	null:null	KEEP-no-pr-unique
